,OBJECTID,POPULATION,LANG_CODE,LON_X,LAT_Y
6649,6650,590,1,63.5029,34.7878
20586,20587,507,1,65.1494,35.0354
10986,10987,727,2,66.2033,36.8724
39948,39949,777,2,69.0517,36.7674
20854,20855,687,1,66.06052,35.697829999999996
10132,10133,1947,3,65.2169,36.949
23209,23210,529,2,69.5263,33.5408
30262,30263,896,3,69.4049,37.0822
37315,37316,705,1,70.0751,36.6858
32422,32423,551,1,67.5022,35.3591
8519,8520,1490,2,66.5764,31.1779
12795,12796,979,1,66.3035,33.8251
44219,44220,1190,1,68.0158,35.9291
26564,26565,1302,2,69.0653,33.9605
2341,2342,645,2,64.1838,30.9979
27487,27488,1884,2,70.2846,34.21
4373,4374,957,2,62.8488,32.0171
23565,23566,609,2,70.0688,33.4458
34914,34915,726,3,70.333,37.1269
20497,20498,644,3,65.3628,35.9828
10642,10643,638,3,64.8648,35.7433
25196,25197,1929,2,70.3777,34.8843
41840,41841,662,1,69.2623,35.0825
24197,24198,1386,2,69.5072,33.7878
42806,42807,573,1,69.2993,35.6698
28363,28364,1103,2,70.7946,34.0604
28826,28827,1152,2,70.2862,34.7428
30707,30708,1761,1,67.9524,36.3305
39684,39685,1189,2,69.1216,34.7439
7094,7095,1348,2,63.3467,35.6384
38419,38420,928,2,68.4956,34.1136
628,629,562,1,67.61363,33.01808
40177,40178,14725,3,69.2983,36.724000000000004
44479,44480,545,6,69.7096,34.9025
3834,3835,968,2,61.9217,32.3428
42102,42103,606,2,61.7222,34.9665
44963,44964,1000,2,69.0523,34.7927
38091,38092,990,1,70.8696,36.9686
35976,35977,569,1,68.7287,34.8926
39003,39004,533,2,68.9425,34.8872
36203,36204,1113,1,68.7582,35.0573
44698,44699,3445,1,69.2173,34.4507
39713,39714,758,1,69.1445,34.797
28263,28264,840,2,70.6579,34.0664
31436,31437,1512,1,68.9507,36.7878
24210,24211,1244,2,69.4041,33.7511
26217,26218,718,6,69.9878,35.0888
43329,43330,1097,9,62.1361,34.3262
44837,44838,939,1,67.1127,36.593
4511,4512,1845,2,64.18729,31.150890000000004
977,978,1234,1,63.2224,34.3755
8001,8002,1246,2,65.3355,31.5575
37201,37202,549,2,69.0024,34.5309
21289,21290,990,3,66.1249,35.8753
20387,20388,1061,1,64.9622,35.723
11916,11917,816,1,66.38391,33.88001
36204,36205,547,2,68.7678,35.0059
879,880,548,1,62.4217,34.9214
1011,1012,1654,2,64.6604,32.1943
39174,39175,782,2,69.4466,34.9398
2059,2060,1180,2,64.7283,32.7613
42882,42883,672,1,62.3887,34.275
58,59,3245,2,62.4256,35.1174
6691,6692,843,2,63.7108,34.7644
40544,40545,1222,1,65.4486,36.227
36634,36635,776,1,69.1896,35.2867
20821,20822,753,1,65.3307,35.7048
19283,19284,1556,2,67.773,32.8256
38108,38109,532,1,70.9713,37.0137
44490,44491,664,6,69.6988,34.8915
30730,30731,711,2,68.046,36.2509
22902,22903,581,2,69.5455,33.1881
10651,10652,525,3,64.6411,35.9269
41273,41274,521,1,69.8924,36.2232
2775,2776,781,2,64.4317,31.6637
39987,39988,585,3,69.7128,36.9036
41698,41699,1303,1,69.6317,35.2582
42744,42745,913,1,69.2804,35.8527
21329,21330,1112,1,66.9165,36.3495
42238,42239,696,3,68.548,35.9686
11044,11045,521,1,65.41419,33.684509999999996
5355,5356,1055,2,64.3686,31.5138
25093,25094,1208,6,70.6201,34.7126
10285,10286,1536,3,64.8679,36.2431
21604,21605,1531,1,66.4108,35.8951
37190,37191,575,3,70.1581,36.8792
683,684,915,5,63.0833,31.8813
41226,41227,716,1,70.0155,36.1245
27313,27314,536,2,70.0398,34.3476
23637,23638,1265,2,70.023842,33.537708
6792,6793,1460,1,63.1871,34.8657
30545,30546,707,7,71.2123,35.7639
44642,44643,550,2,66.1019,32.1986
26843,26844,2811,1,68.9402,33.9623
40511,40512,1168,3,65.4694,36.1562
37792,37793,763,2,69.0341,36.6635
36920,36921,1053,2,69.0672,34.6716
28516,28517,1056,2,70.9637,34.2612
31291,31292,1256,1,68.9042,36.6999
6802,6803,543,1,63.1693,34.9391
34482,34483,818,2,68.2389,34.1291
34978,34979,684,2,69.0884,36.6871
1362,1363,2633,1,68.4676,33.4657
41218,41219,523,1,69.8216,36.175
35106,35107,642,3,69.256,36.4342
37274,37275,807,1,70.1864,36.9739
10584,10585,785,3,64.4361,35.7605
42587,42588,689,1,69.1154,35.621
25279,25280,923,6,70.0394,34.961
17784,17785,607,1,65.0215,34.1777
6612,6613,763,1,63.3823,34.8372
18194,18195,885,2,64.0071,32.9976
